Post Date,Post Subtype,Post Type,Avg Likes Per Post,Number Of Comments,Number Of Likes,Number Of Posts
14-01-2023,Course Certificate,Visual,0.454545455,0,35,77
14-01-2023,Career Track Certificate,Visual,0.75,0,3,4
15-01-2023,Text Post,Text Post,1,1,2,2
15-01-2023,Level,Visual,0.022556391,0,3,133
15-01-2023,Goal,Visual,0.479452055,0,35,73
15-01-2023,Streak,Visual,0.241379310,0,7,29
15-01-2023,Collection,Visual,0,0,0,52
15-01-2023,Course Certificate,Visual,0.136363636,1,9,66
16-01-2023,Text Post,Text Post,1,2,2,2
16-01-2023,Level,Visual,0.033613445,0,4,119
16-01-2023,Goal,Visual,0.5,0,1,2
16-01-2023,Streak,Visual,0.470588235,1,8,17
16-01-2023,Collection,Visual,0.017543860,0,1,57
16-01-2023,Course Certificate,Visual,0.102272727,0,9,88
17-01-2023,Level,Visual,0.013422819,0,2,149
17-01-2023,Streak,Visual,0.375,1,9,24
17-01-2023,Collection,Visual,0.030769231,0,2,65
17-01-2023,Course Certificate,Visual,0.183333333,0,11,60
17-01-2023,Career Track Certificate,Visual,1,1,1,1
18-01-2023,Text Post,Text Post,1,0,1,1
18-01-2023,Level,Visual,0.028985507,0,4,138
18-01-2023,Streak,Visual,0.181818182,0,4,22
18-01-2023,Collection,Visual,0.042857143,0,3,70
18-01-2023,Course Certificate,Visual,0.166666667,1,10,60
19-01-2023,Text Post,Text Post,1,1,1,1
19-01-2023,Level,Visual,0.007692308,1,1,130
19-01-2023,Streak,Visual,0.25,0,6,24
19-01-2023,Collection,Visual,0.019607843,0,1,51
19-01-2023,Course Certificate,Visual,0.203125,0,13,64
20-01-2023,Text Post,Text Post,1,1,1,1
20-01-2023,Level,Visual,0.010526316,1,1,95
20-01-2023,Streak,Visual,0.060606061,0,2,33
20-01-2023,Collection,Visual,0,0,0,54
20-01-2023,Course Certificate,Visual,0.152173913,0,7,46
21-01-2023,Text Post,Text Post,1,1,1,1
21-01-2023,Level,Visual,0,0,0,96
21-01-2023,Goal,Visual,0.333333333,0,2,6
21-01-2023,Streak,Visual,0.193548387,0,6,31
21-01-2023,Collection,Visual,0.023255814,0,1,43
21-01-2023,Course Certificate,Visual,0.189189189,1,7,37
22-01-2023,Text Post,Text Post,1,2,2,2
22-01-2023,Level,Visual,0.043478261,0,5,115
22-01-2023,Goal,Visual,0.537313433,0,36,67
22-01-2023,Streak,Visual,0.083333333,0,2,24
22-01-2023,Collection,Visual,0,0,0,63
22-01-2023,Course Certificate,Visual,0.227272727,0,15,66
23-01-2023,Level,Visual,0.016806723,0,2,119
23-01-2023,Goal,Visual,0.5,1,2,4
